district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
虹口,凉城新村街道,434,0.10426646360944102,0.16373930231997327,0.45509836923358366,0.6077805554972961,0.3552318635193648,0.3506199792115499
虹口,北外滩街道,341,0.23716632303106785,0.26410889419047173,0.5319064344252101,0.6600706291375511,0.45555696258934464,0.43373298345567635
虹口,嘉兴路街道,1050,0.15060504269426933,0.21148799325101827,0.5226727652987089,0.6675239601807378,0.4450305778872035,0.3996099158635699
虹口,四川北路街道,242,0.1889251641529352,0.21920595323340117,0.4837525277648821,0.5225904144651897,0.4727189658269677,0.4370588957574699
虹口,广中路街道,715,0.15025583269418485,0.21053308452237118,0.5200384110213098,0.6469690208436002,0.45665187785930983,0.40569058173244466
虹口,曲阳路街道,474,0.14233227796153436,0.19647055877724698,0.4917040399449481,0.5845845255151819,0.44415576502446513,0.4096628479212499
虹口,欧阳路街道,291,0.13348143898714734,0.17613876359600017,0.44539988044553847,0.496455078875861,0.4388752557805895,0.3728460374879508
虹口,江湾镇街道,633,0.11300619010020435,0.16897689435133045,0.45656474569617794,0.5979931671884917,0.37660576272244695,0.3422218474716992
金山,亭林镇,458,0.14532967875395003,0.12822619490257575,0.2660888721607161,0.31440408198806347,0.24302754527639142,0.22107039407501472
金山,吕巷镇,81,0.12897679904708403,0.11459873570834511,0.24620136640806495,0.2872090051608874,0.24419424818144597,0.18339910992081562
金山,山阳镇,999,0.124103549884149,0.11351024354593657,0.2511825490625007,0.2332792236359974,0.2640644138262747,0.2617932590756223
金山,廊下镇,50,0.14232429493088247,0.09577273627591969,0.15112641961587436,0.1301546987433627,0.1981815280019593,0.11880402127137416
金山,张堰镇,240,0.10639848249613043,0.07183149389497101,0.12198859713961811,0.14834383373098203,0.0821232510518107,0.13563170311636621
金山,朱泾镇,135,0.1354972945369598,0.11453437235494436,0.23435308259030593,0.20242564447663566,0.26441194508220117,0.24335457608352506
金山,枫泾镇,214,0.14846913023067,0.10866304981074204,0.18967251793842255,0.15145346120469155,0.20050009161253834,0.23566440556863014
金山,漕泾镇,20,0.23045692960651692,0.1743488849028,0.27834158129160985,0.377553072530704,0.22642874991659095,0.1922811592340856
金山,石化街道,518,0.11842745009855238,0.12212623572913539,0.2926189801291235,0.34506456999905094,0.2554327067311622,0.2607668190943856
金山,金山卫镇,663,0.10353365554199101,0.095321400229488,0.22138016216711776,0.26283599809573416,0.1936872055672681,0.19382096392112108
长宁,仙霞新村街道,1041,0.12601750063982728,0.20013489413252744,0.5295099719247728,0.6613922816789508,0.45634401701244953,0.42093061319534053
长宁,北新泾街道,335,0.08892148678834455,0.13091651691639147,0.3749756744767878,0.384638705813394,0.3948657665757295,0.3316686953996995
